127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /datafari-solr/FileShare/select?facet.query=%7B%21key%3DLess%2520than%25201%2520month+ex%3Dquery%7Dlast_modified%3A%5BNOW-1MONTH+TO+NOW%5D&facet.query=%7B%21key%3DLess%2520than%25201%2520year+ex%3Dquery%7Dlast_modified%3A%5BNOW-1YEAR+TO+NOW%5D&facet.query=%7B%21key%3DLess%2520than%25205%2520years+ex%3Dquery%7Dlast_modified%3A%5BNOW-5YEARS+TO+NOW%5D&q=nice&facet.field=%7B%21ex%3Dextension%7Dextension&facet.field=%7B%21ex%3Dsource%7Dsource&facet.field=%7B%21ex%3Dlanguage%7Dlanguage&json.wrf=jQuery18107544070079457015_1429862573169&fl=title%2Curl%2Cid%2Cextension&q.op=AND&id=0cd4868c-9679-4a32-99f5-5145b7e4b2fa&sort=score+desc&rows=10&facet=true&wt=javabin&_=1429862573493&qt=%2Fselect&version=2 HTTP/1.1" 200 6617
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /datafari-solr/Capsule/select?q=%22nice%22&wt=javabin&version=2 HTTP/1.1" 200 98
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /datafari-solr/Statistics/get?qt=%2Fget&id=0cd4868c-9679-4a32-99f5-5145b7e4b2fa&fl=id&wt=javabin&version=2 HTTP/1.1" 200 8
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "POST /datafari-solr/Statistics/update?wt=javabin&version=2 HTTP/1.1" 200 41
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/SearchProxy/select?fl=title%2Curl%2Cid%2Cextension&facet=true&q=nice&rows=10&facet.field={!ex%3Dextension}extension&facet.field={!ex%3Dsource}source&facet.field={!ex%3Dlanguage}language&facet.query=%7B!key%3DLess%2520than%25201%2520month%20ex%3Dquery%7Dlast_modified%3A%5BNOW-1MONTH%20TO%20NOW%5D&facet.query=%7B!key%3DLess%2520than%25201%2520year%20ex%3Dquery%7Dlast_modified%3A%5BNOW-1YEAR%20TO%20NOW%5D&facet.query=%7B!key%3DLess%2520than%25205%2520years%20ex%3Dquery%7Dlast_modified%3A%5BNOW-5YEARS%20TO%20NOW%5D&id=0cd4868c-9679-4a32-99f5-5145b7e4b2fa&sort=score%20desc&q.op=AND&wt=json&json.wrf=jQuery18107544070079457015_1429862573169&_=1429862573493 HTTP/1.1" 200 7696
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/default-icon-24x24.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:53 +0200] "GET /Datafari/images/icons/-icon-24x24.png HTTP/1.1" 404 1025
127.0.0.1 - - [24/Apr/2015:10:02:56 +0200] "POST /datafari-solr/FileShare/update/extract HTTP/1.1" 200 159
127.0.0.1 - - [24/Apr/2015:10:03:01 +0200] "POST /datafari-solr/FileShare/update/extract HTTP/1.1" 200 159
127.0.0.1 - - [24/Apr/2015:10:03:06 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - - [24/Apr/2015:10:03:06 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 813
127.0.0.1 - - [24/Apr/2015:10:03:07 +0200] "POST /datafari-solr/FileShare/update/extract HTTP/1.1" 200 159
127.0.0.1 - admin [24/Apr/2015:10:03:09 +0200] "POST /Datafari/login.jsp HTTP/1.1" 302 -
127.0.0.1 - - [24/Apr/2015:10:03:09 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - admin [24/Apr/2015:10:03:09 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 2167
127.0.0.1 - admin [24/Apr/2015:10:03:09 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [24/Apr/2015:10:03:09 +0200] "GET /Datafari/admin/images/bullet.png HTTP/1.1" 404 1015
127.0.0.1 - - [24/Apr/2015:10:03:13 +0200] "POST /datafari-solr/FileShare/update/extract HTTP/1.1" 200 159
127.0.0.1 - admin [24/Apr/2015:10:03:15 +0200] "GET /Datafari/admin/manifoldcf.jsp HTTP/1.1" 200 2480
