127.0.0.1 - - [13/May/2015:10:10:55 +0200] "GET / HTTP/1.1" 200 11243
127.0.0.1 - - [13/May/2015:10:11:14 +0200] "GET /Datafari HTTP/1.1" 302 -
127.0.0.1 - - [13/May/2015:10:11:14 +0200] "GET /Datafari/ HTTP/1.1" 200 2561
127.0.0.1 - - [13/May/2015:10:11:14 +0200] "GET /Datafari/js/AjaxFranceLabs/i18njs.js HTTP/1.1" 304 -
127.0.0.1 - - [13/May/2015:10:11:14 +0200] "GET /Datafari/js/AjaxFranceLabs/widgets/SearchBar.widget.js HTTP/1.1" 304 -
127.0.0.1 - - [13/May/2015:10:11:14 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - - [13/May/2015:10:11:15 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - - [13/May/2015:10:11:15 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 813
127.0.0.1 - admin [13/May/2015:10:11:17 +0200] "POST /Datafari/login.jsp HTTP/1.1" 302 -
127.0.0.1 - - [13/May/2015:10:11:17 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - admin [13/May/2015:10:11:17 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 2207
127.0.0.1 - admin [13/May/2015:10:11:17 +0200] "GET /Datafari/css/admin.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:11:17 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:11:17 +0200] "GET /Datafari/admin/images/bullet.png HTTP/1.1" 404 1015
127.0.0.1 - admin [13/May/2015:10:11:18 +0200] "GET /Datafari/admin/alertsConfig.jsp HTTP/1.1" 200 3239
127.0.0.1 - admin [13/May/2015:10:11:18 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - - [13/May/2015:10:13:33 +0200] "GET /Datafari/admin/alertAdd.jsp?frequency=Hourly&add=add HTTP/1.1" 200 813
127.0.0.1 - admin [13/May/2015:10:13:35 +0200] "POST /Datafari/login.jsp HTTP/1.1" 302 -
127.0.0.1 - - [13/May/2015:10:13:35 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - admin [13/May/2015:10:13:35 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 2207
127.0.0.1 - admin [13/May/2015:10:13:35 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:13:37 +0200] "GET /Datafari/admin/alertsConfig.jsp HTTP/1.1" 200 3315
127.0.0.1 - admin [13/May/2015:10:13:37 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:13:40 +0200] "GET /Datafari/admin/alertAdd.jsp?frequency=Hourly&add=add HTTP/1.1" 200 3385
127.0.0.1 - admin [13/May/2015:10:13:40 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:14:20 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2306
127.0.0.1 - admin [13/May/2015:10:14:20 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:14:22 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:14:25 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2306
127.0.0.1 - admin [13/May/2015:10:14:25 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:17:05 +0200] "GET /Datafari/admin/alertModif.jsp?frequency=Hourly&modif=modification HTTP/1.1" 200 3418
127.0.0.1 - admin [13/May/2015:10:17:05 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:17:07 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2486
127.0.0.1 - admin [13/May/2015:10:17:07 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:17:13 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:26:53 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2295
127.0.0.1 - admin [13/May/2015:10:26:53 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/admin/alertModif.jsp?frequency=Hourly&modif=modification HTTP/1.1" 200 3428
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/main.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/admin.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/js/jquery-1.8.1.min.js HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/js/menu.js HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/generic.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/template.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/checkbox.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/color.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:19 +0200] "GET /Datafari/css/font.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:27:22 +0200] "GET /Datafari/admin/alertModif.jsp?frequency=Hourly&modif=modification HTTP/1.1" 200 3428
127.0.0.1 - admin [13/May/2015:10:27:22 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:27:49 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2295
127.0.0.1 - admin [13/May/2015:10:27:49 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2321
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/main.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/admin.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/js/jquery-1.8.1.min.js HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/js/menu.js HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/reset.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/generic.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/checkbox.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/template.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/color.css HTTP/1.1" 304 -
127.0.0.1 - admin [13/May/2015:10:29:45 +0200] "GET /Datafari/css/font.css HTTP/1.1" 304 -
127.0.0.1 - - [13/May/2015:10:37:19 +0200] "GET /Datafari/admin/alertsConfig.jsp HTTP/1.1" 200 813
127.0.0.1 - admin [13/May/2015:10:37:21 +0200] "POST /Datafari/login.jsp HTTP/1.1" 302 -
127.0.0.1 - - [13/May/2015:10:37:21 +0200] "GET /Datafari/admin HTTP/1.1" 302 -
127.0.0.1 - admin [13/May/2015:10:37:21 +0200] "GET /Datafari/admin/ HTTP/1.1" 200 2207
127.0.0.1 - admin [13/May/2015:10:37:21 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:37:23 +0200] "GET /Datafari/admin/alertsConfig.jsp HTTP/1.1" 200 3315
127.0.0.1 - admin [13/May/2015:10:37:23 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:37:27 +0200] "GET /Datafari/admin/alertAdd.jsp?frequency=Daily&add=add HTTP/1.1" 200 3384
127.0.0.1 - admin [13/May/2015:10:37:27 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:37:53 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2328
127.0.0.1 - admin [13/May/2015:10:37:54 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:47:02 +0200] "POST /Datafari/admin/alerts.jsp HTTP/1.1" 200 2328
127.0.0.1 - admin [13/May/2015:10:47:02 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
127.0.0.1 - admin [13/May/2015:10:47:15 +0200] "GET /Datafari/admin/alertModif.jsp?frequency=Daily&modif=modification HTTP/1.1" 200 3249
127.0.0.1 - admin [13/May/2015:10:47:15 +0200] "GET /Datafari/css/menu.css HTTP/1.1" 404 993
